Model,CV RMSE Mean,CV RMSE Std,CV MAE Mean,Test RMSE,Test MAE,Test MAPE (%),Test R2
Lasso Regression,0.7402147285708839,0.25776217376892596,0.6263088097524079,0.6192874185706365,0.43023618700088045,31.444745859954352,0.8625532144062313
ElasticNet,0.9427911959229058,0.4503895035788778,0.8263870704930418,0.6213596315105744,0.4488700053201404,32.701206971662174,0.8616318473024724
Ridge Regression,1.1253855577043907,0.5888418594921669,1.0249158546612807,0.6450015074904591,0.4882238773014003,34.22295513067073,0.8509020977934797
Last Value Naive,0.8356138663815852,0.1798479903811869,0.6375000000000001,0.7108387065056789,0.5508333333333333,38.068025903337585,0.81891094202298
Linear Regression,1.4540027011348158,0.7002046331168392,1.260405818233769,0.7198447194617319,0.5305692630079601,33.74554445066588,0.8142932369980976
Voting Ensemble,0.8479189451791711,0.20985855872865178,0.7146100150148496,0.7217592535895441,0.5497396192242656,41.76042974019177,0.8133040938280653
SVR,1.0598746617214179,0.08165879498617024,0.9311410299138843,0.790794580746207,0.6648898204796146,47.71790726957138,0.7758816364988206
Gradient Boosting,0.9557043391427936,0.21487724539460004,0.8018015459176104,0.8351700544707815,0.6365701833573276,50.52918944076129,0.7500230863203101
Random Forest,1.0124397087438861,0.1591118916208922,0.8515647362247118,0.8719561125331293,0.6839901040361682,53.70059246368113,0.7275170536493201
XGBoost,0.9821641985292702,0.20465175761764717,0.8552763613065084,0.9195278088371277,0.7343126867214839,54.96162804739999,0.6969740582959019
KNN Regressor,1.471600811862638,0.4278936997659908,1.2870411648680533,1.0842142540702495,0.9094208715793584,60.17555172315433,0.5787108261525843
Seasonal Naive,2.2073796378649284,0.687706127406635,1.926875,2.491048975833273,1.9366666666666668,188.44561116407547,-1.223896677545151
