Year,Month,Crude_Oil_Price,Crude_Oil_Index
2013,Jan,112.96,103.9788287
2014,Jan,108.12,99.52364515
2015,Jan,47.76,43.96272006
2016,Jan,30.7,28.25911863
2017,Jan,54.58,50.24047866
2018,Jan,69.08,63.58761938
2019,Jan,59.41,54.68645725
2020,Jan,63.65,58.5893453
2021,Jan,54.77,50.41537222
2022,Jan,86.51,79.63180301
2023,Jan,82.5,75.94062824
2013,Feb,116.05,106.8231504
2014,Feb,108.9,100.2416293
2015,Feb,58.1,53.48061213
2016,Feb,32.18,29.62144747
2017,Feb,54.87,50.50742147
2018,Feb,65.32,60.12656771
2019,Feb,63.96,58.87469796
2020,Feb,55.66,51.23461052
2021,Feb,62.28,57.32827062
2022,Feb,97.13,89.40743298
2023,Feb,82.59,76.02347256
2013,Mar,108.47,99.84581751
2014,Mar,107.48,98.93452997
2015,Mar,55.89,51.44632378
2016,Mar,38.21,35.17201703
2017,Mar,51.59,47.48820619
2018,Mar,66.02,60.77091244
2019,Mar,66.14,60.88137153
2020,Mar,32.01,29.46496376
2021,Mar,65.41,60.20941204
2022,Mar,117.25,107.9277413
2023,Mar,78.43,72.19422391
2013,Apr,102.25,94.12035439
2014,Apr,107.76,99.19226786
2015,Apr,59.52,54.78771143
2016,Apr,41.58,38.27407663
2017,Apr,52.31,48.15096076
2018,Apr,72.11,66.37671154
2019,Apr,71.23,65.56667817
2020,Apr,18.38,16.91865148
2021,Apr,64.81,59.65711656
2022,Apr,104.58,96.26510183
2023,Apr,84.64,77.91048211
2013,May,102.56,94.40570705
2014,May,109.54,100.8307444
2015,May,64.08,58.98515706
2016,May,46.74,43.02381774
2017,May,50.33,46.32838569
2018,May,76.98,70.85950984
2019,May,71.32,65.64952249
2020,May,29.38,27.04406858
2021,May,68.53,63.08134852
2022,May,113.34,104.3286158
2023,May,75.47,69.46956622
2013,Jun,102.92,94.73708434
2014,Jun,111.8,102.9110574
2015,Jun,61.48,56.59187665
2016,Jun,48.25,44.41376136
2017,Jun,46.37,42.68323553
2018,Jun,74.41,68.49384421
2019,Jun,64.22,59.114026
2020,Jun,40.27,37.0682315
2021,Jun,73.16,67.34322863
2022,Jun,122.71,112.9536302
2023,Jun,74.84,68.88965597
2013,Jul,107.93,99.34875158
2014,Jul,106.77,98.28098032
2015,Jul,56.56,52.06305373
2016,Jul,44.95,41.37613623
2017,Jul,48.48,44.62547463
2018,Jul,74.25,68.34656541
2019,Jul,63.92,58.83787826
2020,Jul,43.24,39.80209412
2021,Jul,75.17,69.19341848
2022,Jul,111.93,103.0307214
2023,Jul,80.11,73.74065125
2013,Aug,111.28,102.4324013
2014,Aug,101.61,93.53123921
2015,Aug,46.52,42.8213094
2016,Aug,45.84,42.19537453
2017,Aug,51.7,47.58946036
2018,Aug,72.53,66.76331838
2019,Aug,59.04,54.34587504
2020,Aug,44.74,41.18283282
2021,Aug,70.75,65.12484179
2022,Aug,100.45,92.46346796
2023,Aug,86.15,79.30042573
2013,Sep,111.6,102.7269589
2014,Sep,97.09,89.37061328
2015,Sep,47.62,43.83385111
2016,Sep,46.57,42.86733402
2017,Sep,56.15,51.68565182
2018,Sep,78.89,72.61765044
2019,Sep,62.83,57.83454148
2020,Sep,40.91,37.65734668
2021,Sep,74.49,68.5674836
2022,Sep,89.76,82.62340352
2023,Sep,93.72,86.26855368
2013,Oct,109.08,100.4073179
2014,Oct,87.43,80.47865608
2015,Oct,48.43,44.57945001
2016,Oct,49.52,45.58278679
2017,Oct,57.51,52.93752157
2018,Oct,81.03,74.58750431
2019,Oct,59.71,54.96260499
2020,Oct,40.19,36.99459211
2021,Oct,83.54,76.8979404
2022,Oct,93.33,85.90956162
2023,Oct,90.6,83.39661719
2013,Nov,107.79,99.21988264
2014,Nov,79.44,73.1239213
2015,Nov,44.27,40.75020136
2016,Nov,44.73,41.17362789
2017,Nov,62.71,57.72408238
2018,Nov,64.75,59.60188701
2019,Nov,63.21,58.18432862
2020,Nov,42.69,39.29582327
2021,Nov,81.05,74.60591416
2022,Nov,91.42,84.15142101
2023,Nov,82.94,76.34564492
2013,Dec,110.76,101.9537453
2014,Dec,62.34,57.38350017
2015,Dec,38.01,34.98791854
2016,Dec,53.31,49.07145323
2017,Dec,64.37,59.25209987
2018,Dec,57.36,52.7994477
2019,Dec,67.31,61.95834772
2020,Dec,49.99,46.01541825
2021,Dec,74.17,68.27292602
2022,Dec,80.92,74.48625014
2023,Dec,77.63,71.45782994
